Designator,Footprint,Quantity,Value,LCSC Part #
"BTN1, BTN2, BTN3",SW_TL3305AF160QG,3, ,
BZ1,MagneticBuzzer_CUI_CMT-8504-100-SMT,1,Buzzer,
"C1, C2, C3",0603,3,0.1uF,
C4,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,1,10uF,
"C5, C7",0603,2,10uF,
"C6, C8",0603,2,1uF,
"D1, D2, D3, D7",D_SOD-123,4, ,
"D4, D5, D6",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,3, ,
"H1, H2, H3, H4",MountingHole_2.7mm_M2.5_DIN965_Pad,4, ,
"J1, J3, J4, J5, J6, J7, J8","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",7, ,
J10,128x64OLED,1, ,
J11,0.96_TFT_Display_ST77335S,1,Conn_01x08,
J2,USB-C-16pin-hight-v2,1,USB_C_Receptacle_USB2.0,
J9,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,Servo ,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,2, ,
"JP3, JP4",SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,2, ,
"Q1, Q2, Q3, Q4, Q5",SOT-23_Handsoldering,5,IRLML2502,
"R1, R12, R13, R14, R2",0603,5,5K1,
"R10, R11, R3, R4, R5, R6, R7, R8, R9",0603,9,10K,
SW1,MSS22D18,1,SW_Push_SPDT,
SW2,SW_SPST_B3U-1000P,1,RST,
SW3,SW_SPST_B3U-1000P,1,BOOT,
U1,MODULE_ESP32-S2-WROVER,1,ESP32-S2-WROVER,
"U2, U3",SOIC127P600X175-8N,2,MAX6675,
U4,SOT-23-5_HandSoldering,1,MIC5219-3.3YM5,
